demo_no,traj_id,internal_undraped,internal_draped,boundary_undraped,boundary_draped,region_proximity,draped_convexity,undraped_convexity,curvature,neighbor_angle,z_height
1,1,L,L,M,L,L,L,L,L,L,L
2,1,L,L,L,L,L,L,L,L,L,L
3,1,L,L,L,M,L,L,L,L,L,L
4,1,L,L,L,H,L,L,L,L,L,L
5,1,L,L,M,L,L,L,L,L,L,L
6,1,L,L,M,L,L,M,M,L,L,L
7,1,L,L,L,L,L,L,L,L,L,L
8,1,L,L,M,L,L,L,L,L,H,L
9,1,L,L,M,L,L,M,M,L,H,L
10,1,L,L,L,L,L,L,L,L,H,L
11,1,L,L,L,L,L,L,L,M,L,L
12,1,L,L,L,H,L,L,L,L,L,L
13,2,L,L,H,L,L,L,L,L,L,L
14,2,L,L,M,L,L,L,L,L,L,L
15,2,L,L,M,M,L,L,L,L,L,L
16,2,L,L,L,M,L,M,M,L,L,L
17,2,L,L,L,L,L,L,L,L,L,L
18,2,L,L,M,L,L,L,L,L,L,L
19,2,L,L,L,M,L,L,L,L,L,L
20,2,L,L,M,L,L,L,L,L,L,L
21,2,L,L,M,M,L,L,L,L,L,L
22,2,L,L,L,M,L,L,L,L,L,L
23,3,L,L,M,L,L,L,L,L,L,L
24,3,L,L,M,L,L,L,L,L,L,L
25,3,L,L,L,M,L,L,L,L,L,L
26,3,L,L,L,M,L,M,M,L,L,L
27,3,L,L,L,M,L,L,L,L,L,L
28,3,L,L,L,M,L,L,L,L,L,L
29,6,L,L,M,L,L,L,L,L,L,L
30,6,L,L,L,M,L,L,L,L,L,L
31,6,L,L,M,L,L,L,L,L,L,L
32,6,L,L,L,M,L,M,M,L,L,L
33,6,L,L,L,L,L,L,L,L,H,L
34,6,L,L,L,M,L,L,L,L,L,L
35,6,L,L,M,L,L,L,L,L,L,L
36,6,L,L,L,M,L,L,L,L,L,L
37,6,L,L,M,L,L,L,L,L,L,L
38,6,L,L,L,M,L,L,L,L,L,L
39,6,L,L,L,H,L,L,L,L,L,L
40,8,L,L,H,L,L,L,L,L,L,L
41,8,L,L,M,M,L,L,L,L,L,L
42,8,L,L,L,L,L,L,L,L,L,L
43,8,L,L,M,L,L,L,L,L,L,L
44,8,L,L,L,M,L,M,M,L,L,L
45,8,L,L,M,L,L,L,L,L,L,L
46,8,L,L,L,M,L,M,M,L,L,L
47,8,L,L,M,L,L,L,L,L,L,L
48,8,L,L,L,M,L,L,L,L,L,L
49,8,L,L,M,L,L,L,L,L,L,L
50,8,L,L,L,M,L,L,L,L,L,L
51,8,L,L,L,H,L,L,L,L,L,L
52,9,L,L,M,L,L,L,L,L,L,L
53,9,L,L,M,L,L,L,L,L,L,L
54,9,L,L,L,M,L,M,M,L,L,L
55,9,L,L,M,L,L,L,L,L,L,L
56,9,L,L,L,M,L,M,M,L,L,L
57,9,L,L,M,L,L,L,L,L,L,L
58,9,L,L,L,M,L,M,M,L,L,L
59,9,L,L,M,M,L,L,L,L,L,L
60,9,L,L,L,H,L,L,L,L,L,L
