demo_no,traj_id,internal_undraped,internal_draped,boundary_undraped,boundary_draped,region_proximity,draped_convexity,undraped_convexity,curvature,neighbor_angle,z_height
1.0,1.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.8,0.4244131815783876,1.0
2.0,1.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4244131815783876,0.5
3.0,1.0,0.5,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.4244131815783876,0.5
4.0,1.0,0.0,0.4,0.0,0.8,0.0,0.0,0.0,0.09999999999999987,0.0,0.5
5.0,1.0,0.5,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.38197186342054884,0.5
6.0,1.0,0.5,0.3,0.4,0.0,0.0,0.1785714285714286,0.1785714285714286,0.0,0.38197186342054884,0.5
7.0,1.0,0.25,0.75,0.0,0.0,0.0,0.0714285714285714,0.0714285714285714,0.0,0.38197186342054884,0.5
8.0,1.0,0.5,0.3,0.4,0.0,0.0,0.0,0.0,0.0,11.459155902616462,0.5
9.0,1.0,0.5,0.3,0.4,0.0,0.0,0.13888888888888884,0.13888888888888884,0.0,11.459155902616462,0.5
10.0,1.0,0.25,0.75,0.0,0.0,0.0,0.05555555555555558,0.05555555555555558,0.0,11.459155902616462,0.5
11.0,1.0,0.42105263157894735,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,1.0899999999999999,0.47746482927568606,1.75
12.0,1.0,0.0,0.42105263157894735,0.0,0.8421052631578947,0.0,0.0,0.0,0.9909090909090909,0.0,1.6136363636363638
13.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5729577951308233,1.0
14.0,2.0,0.5,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.40925556795058804,0.5
15.0,2.0,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.5729577951308233,0.5
16.0,2.0,0.25,0.5,0.0,0.5,0.0,0.25,0.25,0.0,0.40925556795058804,0.5
17.0,2.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.7639437268410976,0.5
18.0,2.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.47746482927568595,1.15
19.0,2.0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.0,0.0714285714285714,0.0714285714285714,0.0,0.47746482927568595,1.25
20.0,2.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.9098593171027443,1.3214285714285714
21.0,2.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0625,0.0625,0.012499999999999956,1.9098593171027443,0.625
22.0,2.0,0.0,0.8333333333333334,0.0,0.3333333333333333,0.0,0.050000000000000044,0.050000000000000044,0.0,0.0,1.3055555555555556
23.0,3.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.8,1.953265210673261,0.5
24.0,3.0,0.5,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.3819718634205488,0.25
25.0,3.0,0.4,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.9028425862667517,0.25
26.0,3.0,0.25,0.5,0.0,0.5,0.0,0.19999999999999996,0.19999999999999996,0.0,1.432394487827058,0.25
27.0,3.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0
28.0,3.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8
29.0,6.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.1140846016432675,0.5
30.0,6.0,0.5,0.25,0.0,0.5,0.0,0.0,0.0,0.0,1.1140846016432675,0.25
31.0,6.0,0.5,0.3,0.4,0.0,0.0,0.0,0.0,0.0,1.9098593171027443,0.25
32.0,6.0,0.3,0.5,0.0,0.4,0.0,0.19999999999999996,0.19999999999999996,0.0,1.9098593171027443,0.25
33.0,6.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.8197186342054885,1.0
34.0,6.0,0.0,0.2727272727272727,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.8
35.0,6.0,0.5,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.6366197723675814,1.4166666666666665
36.0,6.0,0.3,0.5,0.0,0.4,0.0,0.06666666666666665,0.06666666666666665,0.0,0.6366197723675814,1.4642857142857144
37.0,6.0,0.5,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.47746482927568606,1.5
38.0,6.0,0.25,0.5,0.0,0.5,0.0,0.08333333333333337,0.08333333333333337,0.0,0.47746482927568606,1.5277777777777777
39.0,6.0,0.0,0.375,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.8
40.0,8.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,8.0,0.23076923076923078,0.2692307692307692,0.46153846153846156,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0
42.0,8.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.9098593171027443,0.0
43.0,8.0,0.5,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.9549296585513721,0.75
