Region,Curvature avg,neighbors,neighbor angles,neighbor edges,Shape complexity,Area/total area,Z avg,Z max,Corner Neighbors,region index,solution
a,3,"O,x,b,x,d,x,O","x,5,35,x","0.6,0.4,0.6,0.4",0.4,0.05128205128,0.25,0.32,"O,O,e,O","0,0","e,b,d,f,a,c,h,g,i,k,j,l"
b,3,"O,x,c,x,e,x,a","x,-5,35,-5","0.6,0.4,0.6,0.4",0.4,0.05128205128,0.25,0.32,"O,O,f,d","0,1",
c,3,"O,x,O,x,f,x,b","x,x,35,5","0.6,0.4,0.6,0.4",0.4,0.05128205128,0.25,0.32,"O,O,O,e","0,2",
d,5,"a,x,e,x,g,x,O","-35,7,-30,x","0.6,0.9,0.6,0.9",0.45,0.1153846154,0.85,1,"O,b,h,O","1,0",
e,5,"b,x,f,x,h,x,d","-35,-7,-30,-7","0.6,0.9,0.6,0.9",0.45,0.1153846154,0.85,1,"a,c,i,g","1,1",
f,5,"c,x,O,x,i,x,e","-35,x,-30,7","0.6,0.9,0.6,0.9",0.45,0.1153846154,0.85,1,"b,O,O,h","1,2",
g,-3,"d,x,h,x,j,x,O","30,7,-35,x","0.6,0.9,0.6,0.9",0.55,0.1153846154,0.65,0.7,"O,e,k,O","2,0",
h,-3,"e,x,i,x,k,x,g","30,-7,-35,-7","0.6,0.9,0.6,0.9",0.55,0.1153846154,0.65,0.7,"d,f,l,j","2,1",
i,-3,"f,x,O,x,l,x,h","30,x,-35,7","0.6,0.9,0.6,0.9",0.55,0.1153846154,0.65,0.7,"e,O,O,k","2,2",
j,-2,"g,x,k,x,O,x,O","35,5,x,x","0.6,0.4,0.6,0.4",0.35,0.05128205128,0.32,0.4,"O,h,O,O","3,0",
k,-2,"h,x,l,x,O,x,j","35,-5,x,-5","0.6,0.4,0.6,0.4",0.35,0.05128205128,0.32,0.4,"g,i,O,O","3,1",
l,-2,"i,x,O,x,O,x,k","35,x,x,5","0.6,0.4,0.6,0.4",0.35,0.05128205128,0.32,0.4,"h,O,O,O","3,2",
