Region,Curvature avg,neighbors,neighbor angles,neighbor edges,Shape complexity,Area/total area,Z avg,Z max,Corner Neighbors,region index,Solution
a,5,"O,x,b,x,d,x,O","x,10,-10,x","0.4,0.5,0.4,0.5",0.7,0.067,0.8,0.9,"O,O,e,O","0,0","e,d,f,b,a,c,h,i,g,k,j,l"
b,6,"O,x,c,x,e,x,a","x, -10, -20, -10","0.4,0.5,0.4,0.5",0.75,0.067,0.9,1,"O,O,f,d","0,1",
c,5,"O,x,O,x,f,x,b","x, x, -10, 10","0.4,0.5,0.4,0.5",0.7,0.067,0.8,0.9,"O,O,O,e","0,2",
d,5,"a,x,e,x,g,x,O","10, 15, -25, x","0.4,0.5,0.4,0.5",0.75,0.067,0.7,0.75,"O,b,h,O","1,0",
e,6,"b,x,f,x,h,x,d","20, -15, -30, -15","0.4,0.5,0.4,0.5",0.8,0.067,0.7,0.8,"a,c,i,g","1,1",
f,5,"c,x,O,x,i,x,e","10, x, -25, 15","0.4,0.5,0.4,0.5",0.75,0.067,0.7,0.75,"b,O,O,h","1,2",
g,-2,"d,x,h,x,j,x,O","25, 15, -35, x","0.4,0.5,0.4,0.5",0.63,0.133,0.4,0.5,"O,e,k,O","2,0",
h,-3,"e,x,i,x,k,x,g","30, -15, -30, -15","0.4,0.5,0.4,0.5",0.65,0.133,0.4,0.55,"d,f,l,j","2,1",
i,-2,"f,x,O,x,l,x,h","25, x, -35, 15","0.4,0.5,0.4,0.5",0.63,0.133,0.4,0.5,"e,O,O,k","2,2",
j,5,"g,x,k,x,O,x,O","35, 15, x, x","0.4,0.5,0.4,0.6",0.65,0.067,0.15,0.22,"O,h,O,O","3,0",
k,-2,"h,x,l,x,O,x,j","30, -10, x,-10","0.4,0.5,0.4,0.7",0.65,0.067,0.15,0.25,"g,i,O,O","3,1",
l,5,"i,x,O,x,O,x,k","35, x, x, 15","0.4,0.5,0.4,0.8",0.65,0.067,0.15,0.22,"h,O,O,O","3,2",
