region_id,region_dims,edgewise_region_neighbors,neighbor_edge_dim,region_angles,corner_coords,corner_regions,max_curvature,z_max,mold_dimensions,user_preferred_sequence
a,"4,12","O,x,b,f,x,O,x,O","4,6,6,4,12",0,"0,0,x,4,0,x,4,12,x,0,12","O,O,O,O",0,0,"28,12","l,k,j,i,e,h,d,g,c,f,b,a"
b,"3,6","O,x,c,x,f,x,a","3,6,3,6",60,"4,0,x,7,0,x,7,6,x,4,6","O,O,g,a",0.6,1,,
c,"3,6","O,x,d,x,g,x,b","3,6,3,6",120,"7,0,x,10,0,x,10,6,x,7,6","O,O,h,f",0.6,1,,
d,"4,6","O,x,e,x,h,x,c","4,6,4,6",120,"10,0,x,14,0,x,14,6,x,10,6","O,O,i,g",0,-2,,
e,"4,6","O,x,j,x,i,x,d","4,6,4,6",60,"14,0,x,18,0,x,18,6,x,14,6","O,O,j,h",0,-2,,
f,"3,6","b,x,g,x,O,x,a","3,6,3,6",60,"4,6,x,7,6,x,7,12,x,4,12","a,c,O,O",0.6,1,,
g,"3,6","c,x,h,x,O,x,f","3,6,3,6",120,"7,6,x,10,6,x,10,12,x,7,12","b,d,O,O",0.6,1,,
h,"4,6","d,x,i,x,O,x,g","4,6,4,6",120,"10,6,x,14,6,x,14,12,x,10,12","c,e,O,O",0,-2,,
i,"4,6","e,x,j,x,O,x,h","4,6,4,6",60,"14,6,x,18,6,x,18,12,x,16,12","d,j,O,O",0,-2,,
j,"3,12","O,x,k,l,x,O,x,i,e","3,6,6,3,6,6",0,"18,0,x,21,0,x,21,12,x,18,12","O,O,O,O",0,0,,
k,"7,6","O,x,O,x,l,x,j","7,6,7,6",0,"21,0,x,28,0,x,28,6,x,21,6","O,O,O,j",0,0,,
l,"7,6","k,x,O,x,O,x,j","7,6,7,6",0,"21,6,x,28,6,x,28,12,x,21,12","j,O,O,O",0,0,,
